id_amat,nome
10424,"Via Rembrandt, 25 prima di Via Aretusa"
10425,"V.le Aretusa, 20 prima di Via Rembrandt"
10427,"P.le Selinunte, 3 prima di Via Morgantini"
10428,Via Paravia prima di P.le Segesta
10429,"Via Paravia, 93 dopo P.le Segesta"
10430,Via Diomede prima di Via Trenno
10431,Via Diomede prima di Via Trenno
10433,Via Diomede dopo Via Sant'Elia
10434,Via Diomede prima di Via Sant'Elia
10435,Via Diomede dopo Via Andora
10436,Via Diomede prima di Via Arenzano
10437,Via Croce prima di Via Uruguay
10438,Via Croce dopo Via Uruguay
10439,Via Uruguay prima di Via Quarenghi
10440,Via Uruguay prima di Via Benedetto Croce
10441,Via Croce dopo Via Salerio
10442,Via Croce prima di Via Salerio
10443,Via Sant'Elia dopo V.le De Gasperi
10444,Via Terzaghi dopo Via Sant'Elia
10445,Via Terzaghi prima di Via Sant'Elia
10446,P.le Kennedy sotto sovrappasso autostradale
10447,P.za S.Maria Nascente dopo Via Isernia
10448,"V.le Certosa, 280 prima di Via Giorgini"
10449,"V.le Certosa, 291 prima di Via Giorgini"
10450,"V.le Certosa, 267 prima di Via Cormons"
10451,V.le De Gasperi fronte Via Pizzoni
10452,V.le De Gasperi dopo Via Pizzoni
10453,"V.le Certosa, 262 prima di Via Cormons"
10454,"Via Cefalonia, 10 dopo Via Pareto"
10455,Via Cefalonia prima di Via Pareto
10456,"V.le Certosa, 235 dopo Via Gradisca"
10459,Via Sapri dopo Via Garegnano
10460,"Via Sapri, 46 prima di Via Garegnano"
10461,V.le del Ghisallo dopo Via Gallarate
10462,V.le Certosa prima di Via Gradisca
10463,"Via del Ghisallo, 15 prima di Via Gallarate"
10464,V.le Certosa dopo di Via Tibullo
10465,"Via Gallarate, 102 dopo Via Tibullo"
10466,"V.le Certosa, 190 prima di Via Tibullo"
10467,"Via Gallarate, 101 dopo Via P. della Mirandola"
10468,"Via Brunetti, 8 dopo P.za Cacciatori delle Alpi"
10469,P.le Cacciatori delle Alpi
10471,"Via G.Grassi, 23"
10472,Via G.Grassi fronte 23
10473,L.go Boccioni dopo Via Grassi
10474,L.go Boccioni prima di Via Grassi
10475,"Via Drago, 1 prima di L.go Boccioni"
10476,"L.go Boccioni, 10"
10477,"Via Arsia, 2 prima di Via Carbonia"
10478,Via Alassio dopo Via Brunetti
10479,Via Cantoni dopo Via Alassio
10480,"Via Mambretti, 26 prima di Via 5 Maggio"
10481,"Via Palizzi, dopo Via Mambretti"
10482,"Via Cantoni, 3 prima di Via Varesina"
10483,"Via Eritrea, 61 prima di Via De Pisis"
10484,"Via Lessona, 5 prima di Via Aldini"
10485,"Via Lessona, 6 prima di Via Trilussa"
10486,Via Arsia prima di Via Cogne
10487,"Via Arsia, 7 prima di Via Carbonia"
10488,Via Arsia dopo Via Cogne
10489,"Via Val Trompia, 4 dopo Via Otranto"
10490,"Via Val Trompia, 11 prima di Via Val Lagarina"
10491,Via Val Trompia fronte 37 dopo Via Val di Fassa
10492,"Via Val Trompia, 37 dopo Via Val Malenco"
10493,Via Satta dopo Via Lessona
10494,"Via Satta, 1 prima di Via Lessona"
10495,"Via Amoretti, 4 dopo Via Lessona"
10496,Via Amoretti prima di Via Lessona
10497,Via Mazzolari fronte 19 prima di Via Campari
10498,"Via Mazzolari, 70 dopo Via Barona"
10499,Via Campari fronte 10 prima di Via Teramo
10500,"V.le Faenza, 29 dopo Via Campari"
10501,V.le Faenza prima di Via Bari
10503,Via De Pretis prima di Via Mazzolari
10505,V.le Faenza dopo Via Taranto
10506,"Via De Pretis, 55"
10507,Via De Pretis fronte 55
10508,Via De Pretis dopo Via Mazzolari
10509,V.le Faenza prima di Via Sessa
