"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"14-18 anni";"Farini (78)";131
"14-18 anni";"Dergano (79)";1002
"14-18 anni";"Affori (80)";1076
"14-18 anni";"Bovisasca (81)";340
"14-18 anni";"Comasina (82)";435
"14-18 anni";"Bruzzano (83)";590
"14-18 anni";"Parco Nord (84)";5
"14-18 anni";"Parco delle Abbazie (85)";28
"14-18 anni";"Parco dei Navigli (86)";13
"14-18 anni";"Assiano (87)";7
"14-18 anni";"Parco Bosco in citta' (88)";57
"19-24 anni";"Duomo (1)";1053
"19-24 anni";"Brera (2)";955
"19-24 anni";"Giardini P.ta Venezia (3)";2
"19-24 anni";"Guastalla (4)";923
"19-24 anni";"Porta Vigentina - Porta Lodovica (5)";935
"19-24 anni";"Porta Ticinese - Conca del Naviglio (6)";1152
"19-24 anni";"Magenta - S.Vittore (7)";1117
"19-24 anni";"Porta Garibaldi - Porta Nuova (9)";280
"19-24 anni";"Stazione Centrale - Ponte Seveso (10)";1138
"19-24 anni";"Isola (11)";1074
"19-24 anni";"Maciachini - Maggiolina (12)";1349
"19-24 anni";"Greco - Segnano (13)";821
"19-24 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1926
"19-24 anni";"Bicocca (15)";429
"19-24 anni";"Gorla - Precotto (16)";1429
"19-24 anni";"Adriano (17)";1176
"19-24 anni";"Cimiano - Rottole - Q.re Feltre (18)";1070
"19-24 anni";"Padova - Turro - Crescenzago (19)";2085
"19-24 anni";"Loreto - Casoretto - NoLo (20)";2470
"19-24 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3325
"19-24 anni";"Citta' studi (22)";1825
"19-24 anni";"Lambrate - Ortica (23)";562
"19-24 anni";"Parco Forlanini - Cavriano (24)";380
"19-24 anni";"Corsica (25)";936
"19-24 anni";"XXII Marzo (26)";1645
"19-24 anni";"Pta Romana (27)";776
"19-24 anni";"Umbria - Molise - Calvairate (28)";1074
"19-24 anni";"Ortomercato (29)";216
"19-24 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";1069
"19-24 anni";"Monlue' - Ponte Lambro (31)";489
"19-24 anni";"Triulzo Superiore (32)";95
"19-24 anni";"Rogoredo - Santa Giulia (33)";571
"19-24 anni";"Chiaravalle (34)";52
"19-24 anni";"Lodi - Corvetto (35)";2080
"19-24 anni";"Scalo Romana (36)";634
"19-24 anni";"Morivione (37)";481
"19-24 anni";"Vigentino - Q.re Fatima (38)";775
"19-24 anni";"Quintosole (39)";36
"19-24 anni";"Ronchetto delle Rane (40)";68
"19-24 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1284
"19-24 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1621
"19-24 anni";"Tibaldi (43)";536
"19-24 anni";"Porta Ticinese - Conchetta (44)";768
"19-24 anni";"Moncucco - San Cristoforo (45)";749
"19-24 anni";"Barona (46)";958
"19-24 anni";"Cantalupa (47)";33
"19-24 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";752
"19-24 anni";"Giambellino (49)";1724
"19-24 anni";"Porta Genova (50)";800
"19-24 anni";"Porta Magenta (51)";1422
"19-24 anni";"Bande Nere (52)";2279
"19-24 anni";"Lorenteggio (53)";791
"19-24 anni";"Muggiano (54)";224
"19-24 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1829
"19-24 anni";"Forze Armate (56)";1397
"19-24 anni";"San Siro (57)";1463
"19-24 anni";"De Angeli - Monte Rosa (58)";1131
"19-24 anni";"Tre Torri (59)";139
"19-24 anni";"Stadio - Ippodromi (60)";900
"19-24 anni";"Quarto Cagnino (61)";521
"19-24 anni";"Quinto Romano (62)";282
"19-24 anni";"Figino (63)";138
"19-24 anni";"Trenno (64)";221
"19-24 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1805
"19-24 anni";"QT 8 (66)";230
"19-24 anni";"Portello (67)";409
"19-24 anni";"Pagano (68)";1121
"19-24 anni";"Sarpi (69)";1349
"19-24 anni";"Ghisolfa (70)";822
"19-24 anni";"Villapizzone - Cagnola - Boldinasco (71)";2277
"19-24 anni";"Maggiore - Musocco - Certosa (72)";328
"19-24 anni";"Cascina Merlata (73)";13
"19-24 anni";"Roserio (74)";13
"19-24 anni";"Stephenson (75)";5
