stop_id,nil
12581,GORLA - PRECOTTO
12563,GORLA - PRECOTTO
12554,GORLA - PRECOTTO
12542,PADOVA - TURRO - CRESCENZAGO
12263,LORETO - CASORETTO - NOLO
12259,LORETO - CASORETTO - NOLO
12251,LORETO - CASORETTO - NOLO
12199,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12181,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
11858,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
11848,GIARDINI P.TA VENEZIA
11814,DUOMO
11494,BRERA
11483,DUOMO
11273,MAGENTA - S.VITTORE
11244,PAGANO
16935,PAGANO
10908,DE ANGELI - MONTE ROSA
10900,DE ANGELI - MONTE ROSA
17533,DE ANGELI - MONTE ROSA
10447,QT 8
15300,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
16936,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10122,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10104,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10192,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
15004,DUOMO
10917,PAGANO
10911,PAGANO
10590,DE ANGELI - MONTE ROSA
10576,BANDE NERE
10387,BANDE NERE
16898,FORZE ARMATE
10235,FORZE ARMATE
10211,FORZE ARMATE
10208,FORZE ARMATE
10218,FORZE ARMATE
10068,FORZE ARMATE
10065,FORZE ARMATE
10064,FORZE ARMATE
10060,FORZE ARMATE
10154,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10150,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10137,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10132,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
12942,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10029,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10027,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10028,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10128,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10130,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10134,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10138,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10162,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
17065,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA
10059,FORZE ARMATE
10063,FORZE ARMATE
10066,FORZE ARMATE
10067,FORZE ARMATE
10219,FORZE ARMATE
10209,FORZE ARMATE
10210,FORZE ARMATE
10236,FORZE ARMATE
16893,BANDE NERE
10571,BANDE NERE
10579,BANDE NERE
10584,BANDE NERE
16894,DE ANGELI - MONTE ROSA
10910,PAGANO
10916,PAGANO
11243,PAGANO
13129,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10106,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10281,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
15302,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
15089,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
10638,QT 8
10652,DE ANGELI - MONTE ROSA
10901,DE ANGELI - MONTE ROSA
10907,DE ANGELI - MONTE ROSA
11274,MAGENTA - S.VITTORE
11485,DUOMO
11492,BRERA
11507,DUOMO
16930,DUOMO
11809,DUOMO
11815,GUASTALLA
11852,GIARDINI P.TA VENEZIA
11857,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12188,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12209,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12252,LORETO - CASORETTO - NOLO
12258,LORETO - CASORETTO - NOLO
12262,LORETO - CASORETTO - NOLO
12540,PADOVA - TURRO - CRESCENZAGO
12558,GORLA - PRECOTTO
12564,GORLA - PRECOTTO
12582,GORLA - PRECOTTO
12584,GORLA - PRECOTTO
16932,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11113,MONCUCCO - SAN CRISTOFORO
10800,MONCUCCO - SAN CRISTOFORO
17459,MONCUCCO - SAN CRISTOFORO
10816,PORTA TICINESE - CONCHETTA
12943,PORTA TICINESE - CONCHETTA
11178,PORTA TICINESE - CONCHETTA
17770,MAGENTA - S.VITTORE
18128,MAGENTA - S.VITTORE
11525,DUOMO
16919,BRERA
17704,SARPI
11928,STAZIONE CENTRALE - PONTE SEVESO
12185,STAZIONE CENTRALE - PONTE SEVESO
12210,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12487,CITTA' STUDI
12712,CITTA' STUDI
12735,CIMIANO - ROTTOLE - Q.RE FELTRE
12766,PADOVA - TURRO - CRESCENZAGO
12782,PADOVA - TURRO - CRESCENZAGO
12892,ADRIANO
13807,CIMIANO - ROTTOLE - Q.RE FELTRE
12893,ADRIANO
12783,PADOVA - TURRO - CRESCENZAGO
16915,PADOVA - TURRO - CRESCENZAGO
12731,CIMIANO - ROTTOLE - Q.RE FELTRE
12700,CITTA' STUDI
12488,CITTA' STUDI
12211,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
12184,STAZIONE CENTRALE - PONTE SEVESO
11884,STAZIONE CENTRALE - PONTE SEVESO
11869,PORTA GARIBALDI - PORTA NUOVA
17392,BRERA
11524,DUOMO
18127,MAGENTA - S.VITTORE
17756,MAGENTA - S.VITTORE
